4370054|tertiary|Hanzas iela|50|N|4|2002|3059|1|2|1|/506844.98|313220.84|506895.42|313217.06|/
4370308|tertiary|Aspazijas bulvāris|50|Y|1|2002|3059|1|2|1|/507046.62|311428.36|507041.35|311437.34|507028.48|311460.47|507027.53|311462.12|507026.84|311463.44|507024.87|311466.95|507022.09|311472.08|507017.79|311480.00|/
4370312|primary|Kalpaka bulvāris|50|Y|3|2002|3059|1|2|1|/506717.57|312353.38|506701.79|312367.08|506680.40|312385.56|506667.08|312397.32|/
4370484|residential|Sporta iela|30|N|2|2002|3059|1|2|1|/507313.69|313246.75|507307.64|313253.25|507297.45|313264.56|507256.64|313308.08|507204.78|313363.22|507146.32|313426.43|507130.90|313443.13|507098.78|313476.97|/
4371283|tertiary|Aristida Briāna iela|30|N|2|2002|3059|1|2|1|/507581.39|313258.63|507589.12|313253.76|507599.01|313254.39|507654.63|313262.15|507694.67|313267.73|507709.26|313269.77|507747.54|313275.12|507771.85|313278.72|507776.83|313279.51|507789.30|313281.64|/
4372043|residential|Dzirnavu iela||N|2|2002|3059|1|2|1|/507615.68|311610.37|507612.46|311625.15|507607.86|311650.95|507602.48|311681.09|/
4372673|residential|Skolas iela|50|Y|1|2002|3059|1|2|1|/507531.32|313003.06|507522.38|313005.82|507519.60|313005.27|507516.95|313002.69|507493.03|312978.15|507470.92|312954.81|507448.80|312931.46|507414.93|312895.57|507408.07|312888.40|/
4372675|primary|Valmieras iela|50|N|3|2002|3059|1|2|1|/508860.14|311723.93|508865.27|311729.82|508888.19|311753.24|/
4372681|residential|Cēsu iela|50|N|2|2002|3059|1|2|1|/508212.79|313194.51|508213.96|313200.71|/
4374066|primary|Kalnciema iela|50|N|4|2002|3059|1|2|1|/504295.43|311179.21|504293.03|311177.30|/
4374869|trunk_link||50|Y|1|2002|3059|1|2|1|/507798.59|310476.71|507830.43|310504.06|507847.62|310525.48|/
4374988|tertiary|Matīsa iela||N|2|2002|3059|1|2|1|/509134.50|311739.14|509140.35|311734.00|509168.39|311709.96|509172.42|311706.56|509182.99|311697.63|509208.30|311676.27|509225.94|311661.39|509241.96|311647.87|509274.15|311620.70|509278.07|311617.38|509282.85|311613.35|509298.69|311599.99|509303.07|311596.29|509369.45|311540.27|509379.01|311532.21|/
4374999|residential|Šarlotes iela|30|Y||2002|3059|1|2|1|/507789.30|313281.64|507788.97|313273.44|507789.27|313247.79|507789.66|313215.29|507790.05|313182.48|507790.12|313176.46|507789.00|313155.69|507788.59|313148.22|507789.53|313125.95|507790.61|313102.72|507795.95|313059.85|507800.92|313020.56|507801.41|313017.84|507805.14|313001.87|507810.49|312986.25|507817.33|312968.84|507818.98|312964.64|/
4375000|residential|Šarlotes iela|30|N||2002|3059|1|2|1|/507844.92|313535.55|507843.12|313529.79|507835.54|313505.84|507823.82|313460.00|507821.57|313451.18|507820.43|313445.21|507797.39|313324.66|507790.17|313286.84|507789.30|313281.64|/
4375001|residential|Mednieku iela|30|N|2|2002|3059|1|2|1|/506642.88|312973.64|506639.19|312973.81|506615.07|312975.20|506580.26|312977.41|506570.16|312978.05|506557.00|312978.89|506512.60|312981.73|506467.20|312984.64|/
4375038|primary|Jorģa Zemitāna tilts||N|6|2002|3059|1|2|1|/509887.70|313522.38|509749.00|313508.45|509658.52|313499.52|509552.18|313489.46|509491.20|313483.46|509459.48|313480.30|509440.35|313478.20|509423.02|313475.86|509407.65|313472.80|509393.77|313468.99|509380.93|313465.08|509363.68|313459.86|509339.70|313450.74|509313.62|313440.58|509253.64|313415.83|/
4375039|primary|Ieriķu iela|50|Y|3|2002|3059|1|2|1|/509160.46|313364.42|509176.52|313373.26|509189.18|313380.62|/
4375278|tertiary|Muitas iela|50|N|4|2002|3059|1|2|1|/505987.26|312107.55|506017.85|312115.12|/
4375304|tertiary|Jūrkalnes iela|50|Y|2|2002|3059|1|2|1|/501230.52|310571.39|501215.85|310563.82|501199.99|310549.76|501170.22|310519.96|501164.44|310514.18|501150.47|310498.12|501134.69|310480.01|501086.04|310417.55|501032.82|310354.09|500968.68|310282.68|500933.28|310242.35|500861.25|310165.00|/
4375424|tertiary|Kalnciema iela|50|Y|1|2002|3059|1|2|1|/501275.03|309535.55|501320.79|309531.31|/
4375427|residential|Miķeļa iela||N||2002|3059|1|2|1|/506221.41|312467.70|506215.48|312467.36|506180.43|312465.40|506136.45|312463.47|506130.89|312463.23|/
4375428|residential|Eksporta iela|50|N||2002|3059|1|2|1|/505975.74|312587.01|505976.46|312534.35|505976.38|312469.50|505975.70|312457.78|/
4376384|residential|Ģertrūdes iela|50|N|2|2002|3059|1|2|1|/507425.84|312685.89|507432.72|312678.86|507470.16|312643.41|507478.74|312634.86|/
4376438|trunk|Lāčplēša iela|50|N|4|2002|3059|1|2|1|/507912.54|310762.20|507917.53|310784.08|/
4376442|trunk_link||50|Y|1|2002|3059|1|2|1|/507758.37|310477.70|507723.25|310509.67|507716.05|310517.55|507709.73|310528.28|507706.32|310539.26|507705.01|310554.35|507707.88|310570.29|507715.66|310585.44|507725.01|310594.63|507735.30|310600.28|507746.90|310603.80|507758.72|310604.52|507772.95|310602.34|507784.97|310598.19|507794.26|310592.02|507805.70|310579.49|/
4376445|residential|Antonijas iela|30|Y||2002|3059|1|2|1|/506994.32|313017.57|506973.36|312996.47|506962.45|312985.48|506897.66|312920.24|506893.53|312914.43|506888.55|312892.26|506885.92|312882.14|506883.43|312872.56|506882.05|312867.24|506878.40|312853.81|506875.41|312845.58|506873.01|312841.57|506855.52|312821.63|506848.79|312814.98|506843.50|312811.29|506838.99|312808.87|/
4376446|residential|Baznīcas iela|30|Y|1|2002|3059|1|2|1|/507088.15|312389.57|507093.28|312394.92|507108.67|312410.97|507111.05|312413.44|507135.59|312439.50|507168.39|312473.86|507178.49|312484.45|507178.70|312484.67|507180.07|312486.10|507182.97|312489.14|/
4376447|residential|Ģertrūdes iela|30|N|1|2002|3059|1|2|1|/507379.64|312696.77|507392.48|312685.20|507403.17|312678.59|507418.18|312679.60|507422.74|312682.80|507425.84|312685.89|507431.39|312692.16|507433.27|312698.17|507432.70|312708.55|507429.42|312716.44|507423.23|312723.23|507415.02|312731.70|/
